,id,first_name,last_name,party,district,state,total_votes,missed_votes,seniority,missed_votes_pct,votes_with_party_pct,State_Disct
414,T000468,Dina,Titus,D,1,NV,1212.0,94.0,6,7.76,93.56,NV-1
415,T000469,Paul,Tonko,D,20,NY,1212.0,10.0,10,0.83,93.76,NY-20
416,T000474,Norma,Torres,D,35,CA,1212.0,25.0,4,2.06,94.52,CA-35
417,T000475,Dave,Trott,R,11,MI,1212.0,108.0,4,8.91,96.74,MI-11
418,T000465,Niki,Tsongas,D,3,MA,1212.0,154.0,12,12.71,94.71,MA-3
419,T000463,Michael,Turner,R,10,OH,1212.0,34.0,16,2.81,92.28,OH-10
420,U000031,Fred,Upton,R,6,MI,1212.0,30.0,32,2.48,90.19,MI-6
421,V000129,David,Valadao,R,21,CA,1212.0,24.0,6,1.98,92.59,CA-21
422,V000130,Juan,Vargas,D,51,CA,1212.0,43.0,6,3.55,94.35,CA-51
423,V000131,Marc,Veasey,D,33,TX,1212.0,10.0,6,0.83,93.18,TX-33
424,V000132,Filemon,Vela,D,34,TX,1212.0,72.0,6,5.94,89.65,TX-34
425,V000081,Nydia,Velázquez,D,7,NY,1212.0,35.0,26,2.89,94.05,NY-7
426,V000108,Peter,Visclosky,D,1,IN,1212.0,51.0,34,4.21,94.57,IN-1
427,W000812,Ann,Wagner,R,2,MO,1212.0,46.0,6,3.8,97.94,MO-2
428,W000798,Tim,Walberg,R,7,MI,1212.0,2.0,8,0.17,94.79,MI-7
429,W000791,Greg,Walden,R,2,OR,1212.0,7.0,20,0.58,95.02,OR-2
430,W000819,Mark,Walker,R,6,NC,1212.0,33.0,4,2.72,96.27,NC-6
431,W000813,Jackie,Walorski,R,2,IN,1212.0,9.0,6,0.74,97.92,IN-2
432,W000820,Mimi,Walters,R,45,CA,1212.0,83.0,4,6.85,98.23,CA-45
433,W000799,Tim,Walz,D,1,MN,1212.0,395.0,12,32.59,92.66,MN-1
434,W000797,Debbie,Wasserman Schultz,D,23,FL,1212.0,76.0,14,6.27,94.1,FL-23
435,W000187,Maxine,Waters,D,43,CA,1212.0,54.0,28,4.46,93.7,CA-43
436,W000822,Bonnie,Watson Coleman,D,12,NJ,1212.0,19.0,4,1.57,93.29,NJ-12
437,W000814,Randy,Weber,R,14,TX,1212.0,22.0,6,1.82,94.45,TX-14
438,W000806,Daniel,Webster,R,11,FL,1212.0,126.0,8,10.4,96.59,FL-11
439,W000800,Peter,Welch,D,At-Large,VT,1212.0,26.0,12,2.15,93.84,VT-At-Large
440,W000815,Brad,Wenstrup,R,2,OH,1212.0,19.0,6,1.57,96.14,OH-2
441,W000821,Bruce,Westerman,R,4,AR,1212.0,7.0,4,0.58,97.34,AR-4
442,W000826,Susan,Wild,D,15,PA,79.0,10.0,2,12.66,98.55,PA-15
443,W000816,Roger,Williams,R,25,TX,1212.0,16.0,6,1.32,96.74,TX-25
444,W000808,Frederica,Wilson,D,24,FL,1212.0,182.0,8,15.02,95.24,FL-24
445,W000795,Joe,Wilson,R,2,SC,1212.0,15.0,18,1.24,97.66,SC-2
446,W000804,Robert,Wittman,R,1,VA,1212.0,15.0,12,1.24,94.9,VA-1
447,W000809,Steve,Womack,R,3,AR,1212.0,0.0,8,0.0,97.85,AR-3
448,W000810,Rob,Woodall,R,7,GA,1212.0,17.0,8,1.4,93.64,GA-7
449,Y000062,John,Yarmuth,D,3,KY,1212.0,41.0,12,3.38,94.62,KY-3
450,Y000063,Kevin,Yoder,R,3,KS,1212.0,18.0,8,1.49,94.05,KS-3
451,Y000065,Ted,Yoho,R,3,FL,1212.0,47.0,6,3.88,94.16,FL-3
452,Y000066,David,Young,R,3,IA,1212.0,0.0,4,0.0,96.37,IA-3
453,Y000033,Don,Young,R,At-Large,AK,1212.0,44.0,46,3.63,90.5,AK-At-Large
454,Z000017,Lee,Zeldin,R,1,NY,1212.0,35.0,4,2.89,93.54,NY-1
455,Z000018,Ryan,Zinke,R,At-Large,MT,108.0,89.0,4,82.41,89.47,MT-At-Large
