,Total,White,Hispanic/Latin,African/American,Asian,State,District
167,722636,532877,88661,47318,22438,20,04
168,717739,627939,19220,54793,,21,01
169,754967,657989,23963,44108,11058,21,02
170,740860,502349,37993,163432,20045,21,03
171,754502,676840,23674,26014,9591,21,04
172,703315,674183,10809,10587,,21,05
173,765591,626452,36261,67223,15540,21,06
174,803427,577185,70804,112625,16868,22,01
175,792390,219958,50466,490790,21789,22,02
176,785686,531752,27438,197216,10771,22,03
177,753181,437085,28255,262993,7202,22,04
178,748306,455167,17668,258834,,22,05
179,798676,533454,36537,192297,15904,22,06
180,676165,627851,11334,12358,12060,23,01
181,655314,615756,9380,7605,,23,02
182,735590,583415,28618,89143,15060,24,01
183,764948,384399,54268,261405,42004,24,02
184,764166,445107,67469,169607,60095,24,03
185,755108,196333,130870,395026,22266,24,04
186,758857,344958,59788,293872,32665,24,05
187,757889,446359,101535,107650,80157,24,06
188,722745,237933,28968,382414,54780,24,07
189,757144,454021,115214,94476,69491,24,08
190,729294,530137,129065,45618,15073,25,01
191,749202,576919,74832,38992,41343,25,02
192,761611,518796,142917,28000,63946,25,03
193,753156,624910,37705,26123,46575,25,04
194,759165,542114,69523,38795,85456,25,05
195,766310,622554,71637,29223,30638,25,06
196,779173,316115,167874,206206,83433,25,07
197,773806,558316,47559,75120,63576,25,08
198,740062,639001,38584,18600,10805,25,09
199,699621,636306,12252,,4544,26,01
200,734965,575139,73225,47411,16671,26,02
201,733618,588057,50526,58558,13020,26,03
202,700487,641903,21657,12155,7574,26,04
203,681278,501855,34071,118690,5991,26,05
204,716163,577943,43549,57049,11301,26,06
205,700983,614350,30007,30593,7446,26,07
206,734008,598588,38761,41615,36177,26,08
207,711069,535814,18979,100828,33294,26,09
208,714802,649237,21923,17570,11007,26,10
209,732690,585621,21521,36890,68653,26,11
210,708880,528162,43954,77203,34308,26,12
211,658383,221719,48395,361585,8814,26,13
212,701353,220236,32610,393668,33714,26,14
213,672415,578077,42782,20467,17854,27,01
214,700264,570654,42117,31558,31735,27,02
215,709906,547961,34355,58565,49907,27,03
216,702162,470080,47212,68539,85771,27,04
